company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
TATAMOTORS,Mar 2015,5.35,14.91,25.01,30.21,5.93,1.31,8.22,1.11,-701.0,36232.0,48.0,174.73,0.0,73610.0,35531.0,,,,89.46
TATAMOTORS,Mar 2016,4.28,14.06,14.79,25.89,4.44,0.88,7.31,1.04,1206.0,36694.0,40.0,232.55,1.0,69360.0,37900.0,,,,84.67
TATAMOTORS,Mar 2017,2.8,10.97,13.02,21.65,2.77,1.35,7.42,0.99,-9372.0,39571.0,26.0,171.02,0.0,78604.0,30199.0,,,,77.84
TATAMOTORS,Mar 2018,3.12,10.79,9.53,17.06,2.78,0.93,7.99,0.89,-1282.0,25139.0,31.0,281.08,0.0,88950.0,23857.0,9.08,-1.84,-2.4,60.57
TATAMOTORS,Mar 2019,-9.51,8.17,-47.73,14.83,-9.4,1.76,-0.35,0.99,-1987.0,20878.0,-100.0,177.26,0.0,106175.0,18891.0,5.34,,,29.03
TATAMOTORS,Mar 2020,-4.59,6.89,-18.98,9.57,-3.74,1.98,2.5,0.82,-6482.0,33115.0,-39.0,175.22,0.0,124788.0,26633.0,-0.16,,,15.16
TATAMOTORS,Mar 2021,-5.36,12.93,-24.25,16.36,-3.92,2.57,2.61,0.73,3329.0,25672.0,-41.0,144.25,0.0,142131.0,29001.0,-1.76,,,24.2
TATAMOTORS,Mar 2022,-4.06,8.88,-25.38,12.94,-3.44,3.29,2.91,0.85,9839.0,4444.0,-34.0,116.35,0.0,146449.0,14283.0,0.64,,,20.94
TATAMOTORS,Mar 2023,0.78,9.2,5.94,17.73,0.8,2.96,3.76,1.03,19971.0,15417.0,7.0,118.33,32.0,134113.0,35388.0,3.48,-21.62,-25.74,40.22
TATAMOTORS,Mar 2024,7.26,13.6,37.46,30.98,8.61,1.26,6.53,1.19,45133.0,22782.0,94.0,221.72,7.0,107262.0,67915.0,7.72,,,80.94
TATAMOTORS,TTM,7.68,13.75,,,,,7.59,,,,99.0,,,,,,,,73.22
TATAPOWER,Mar 2013,0.37,16.86,1.0,11.14,0.18,3.07,2.26,0.49,-740.0,4026.0,0.0,52.05,-319.0,37882.0,3286.0,,,,33.63
TATAPOWER,Mar 2014,0.03,19.36,0.1,13.15,0.02,3.24,2.08,0.5,2874.0,3609.0,-1.0,52.32,-114.0,40173.0,6483.0,,,,34.93
TATAPOWER,Mar 2015,1.36,18.76,3.19,11.47,0.61,2.84,1.99,0.45,2116.0,3865.0,1.0,53.03,210.0,40607.0,5981.0,,,,36.8
TATAPOWER,Mar 2016,2.66,7.14,6.76,4.17,1.12,3.34,1.91,0.42,5610.0,1805.0,2.0,43.09,53.0,38849.0,7415.0,,,,31.34
TATAPOWER,Mar 2017,3.99,19.84,8.32,8.82,1.33,3.69,2.01,0.33,-359.0,7373.0,3.0,48.94,39.0,48815.0,7014.0,,,,40.37
TATAPOWER,Mar 2018,9.73,8.55,15.92,3.53,3.19,2.96,2.36,0.33,4852.0,1512.0,9.0,60.74,15.0,48589.0,6364.0,-4.15,84.24,,45.96
TATAPOWER,Mar 2019,8.72,10.27,14.24,4.6,3.1,2.65,2.46,0.36,4302.0,272.0,9.0,67.8,15.0,48506.0,4574.0,-3.51,193.33,,45.46
TATAPOWER,Mar 2020,4.52,23.36,6.73,9.52,1.47,2.65,2.02,0.32,6882.0,493.0,4.0,72.47,41.0,51936.0,7375.0,-2.81,23.56,31.95,42.38
TATAPOWER,Mar 2021,4.4,21.16,6.45,10.03,1.46,2.09,2.17,0.33,9338.0,993.0,4.0,69.76,44.0,46708.0,8345.0,2.09,12.86,14.87,42.73
TATAPOWER,Mar 2022,5.04,16.42,9.61,9.55,1.92,2.28,2.47,0.38,443.0,6250.0,5.0,70.13,32.0,51195.0,6693.0,9.19,14.41,10.76,54.39
TATAPOWER,Mar 2023,6.91,14.02,13.23,9.46,2.97,1.84,3.03,0.43,-97.0,7263.0,10.0,89.96,19.0,52923.0,7166.0,15.48,7.85,2.13,58.86
TATAPOWER,Mar 2024,6.97,17.47,13.23,12.48,3.08,1.66,3.05,0.44,3569.0,9027.0,12.0,101.11,17.0,53689.0,12596.0,15.51,10.43,5.92,65.68
TATAPOWER,TTM,6.94,17.42,,,,,3.25,,,,12.0,,,,,,,,25.0
TATASTEEL,Mar 2013,-5.4,2.94,-21.28,3.86,-4.95,2.01,1.36,0.92,936.0,13099.0,-6.0,35.19,-11.0,68529.0,14035.0,,,,7.1
TATASTEEL,Mar 2014,2.47,10.89,9.04,13.25,2.14,2.01,3.9,0.87,-2232.0,15378.0,3.0,41.74,27.0,81629.0,13146.0,,,,50.73
TATASTEEL,Mar 2015,-2.82,2.44,-12.56,3.04,-2.48,2.57,1.94,0.88,2859.0,9021.0,-3.0,32.29,-20.0,80701.0,11880.0,,,,6.81
TATASTEEL,Mar 2016,-0.49,-0.61,-1.14,-0.5,-0.28,1.87,2.3,0.58,2661.0,8794.0,0.0,45.08,-203.0,81987.0,11455.0,,,,3.85
TATASTEEL,Mar 2017,-3.71,11.7,-11.02,10.88,-2.42,2.2,1.84,0.65,1334.0,9490.0,-4.0,38.99,-23.0,83014.0,10824.0,,,,19.69
TATASTEEL,Mar 2018,14.4,17.39,29.15,14.01,8.5,1.51,5.93,0.59,-3707.0,11730.0,12.0,53.16,9.0,92147.0,8023.0,-1.76,,,55.59
TATASTEEL,Mar 2019,5.79,18.59,13.23,17.27,3.92,1.46,4.03,0.68,-3840.0,29176.0,9.0,60.2,15.0,100816.0,25336.0,1.19,20.01,24.57,63.66
TATASTEEL,Mar 2020,0.84,12.49,1.6,9.2,0.47,1.58,1.94,0.56,6157.0,14012.0,1.0,64.26,74.0,116328.0,20169.0,0.04,,,29.04
TATASTEEL,Mar 2021,5.24,19.52,11.03,18.74,3.36,1.19,4.03,0.64,34890.0,9437.0,6.0,61.97,40.0,88501.0,44327.0,8.92,,,67.6
TATASTEEL,Mar 2022,17.11,26.02,36.48,33.42,14.78,0.66,11.86,0.86,33476.0,10905.0,33.0,93.73,16.0,75561.0,44381.0,16.79,,,98.75
TATASTEEL,Mar 2023,3.32,13.27,7.83,17.18,2.83,0.82,5.38,0.85,3504.0,18179.0,7.0,84.42,50.0,84893.0,21683.0,14.58,-14.57,-10.22,62.32
TATASTEEL,Mar 2024,-2.14,9.71,-5.33,12.42,-1.82,0.95,2.16,0.85,6048.0,14253.0,-4.0,73.81,-101.0,87082.0,20301.0,7.77,,,37.97
TATASTEEL,TTM,1.14,11.45,,,,,3.47,,,,2.0,,,,,,,,27.44
TCS,Mar 2013,22.35,28.64,36.52,46.4,27.1,0.01,400.38,1.21,5577.0,6038.0,36.0,196.66,31.0,332.0,11615.0,,,,97.57
TCS,Mar 2014,23.63,30.75,39.3,50.82,28.93,0.01,686.92,1.22,5299.0,9452.0,49.0,250.99,33.0,297.0,14751.0,,,,96.57
TCS,Mar 2015,21.19,25.87,39.62,48.01,27.36,0.01,271.17,1.29,17562.0,1807.0,51.0,258.34,78.0,358.0,19369.0,,,,99.57
TCS,Mar 2016,22.4,28.24,34.24,43.01,27.57,0.0,1023.06,1.23,14099.0,5010.0,62.0,360.77,35.0,245.0,19109.0,,,,97.0
TCS,Mar 2017,22.34,27.39,30.57,37.35,25.76,0.0,1141.62,1.15,8328.0,16895.0,67.0,437.63,35.0,289.0,25223.0,,,,99.43
